Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","008","Albania","5110","Area","6621","Arable land","2017","2017","1000 ha","612","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6621","Arable land","2018","2018","1000 ha","611.346","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6621","Arable land","2019","2019","1000 ha","610","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6621","Arable land","2020","2020","1000 ha","599.6","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6621","Arable land","2021","2021","1000 ha","599.9","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6621","Arable land","2022","2022","1000 ha","598.1","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6650","Permanent crops","2017","2017","1000 ha","84.2","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6650","Permanent crops","2018","2018","1000 ha","84.654","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6650","Permanent crops","2019","2019","1000 ha","86","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6650","Permanent crops","2020","2020","1000 ha","87.955","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6650","Permanent crops","2021","2021","1000 ha","87.63","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6650","Permanent crops","2022","2022","1000 ha","88.2","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6621","Arable land","2017","2017","1000 ha","0.82","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6621","Arable land","2018","2018","1000 ha","0.8245","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6621","Arable land","2019","2019","1000 ha","0.7911","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6621","Arable land","2020","2020","1000 ha","0.7689","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6621","Arable land","2021","2021","1000 ha","0.7476","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6621","Arable land","2022","2022","1000 ha","0.7476","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6650","Permanent crops","2018","2018","1000 ha","0.0095","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6650","Permanent crops","2019","2019","1000 ha","0.009","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6650","Permanent crops","2020","2020","1000 ha","0.0084","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6650","Permanent crops","2021","2021","1000 ha","0.0086","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6650","Permanent crops","2022","2022","1000 ha","0.0086","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6621","Arable land","2017","2017","1000 ha","1328.94","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6621","Arable land","2018","2018","1000 ha","1327.15","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6621","Arable land","2019","2019","1000 ha","1325.53","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6621","Arable land","2020","2020","1000 ha","1324.9714","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6621","Arable land","2021","2021","1000 ha","1322.9213","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6621","Arable land","2022","2022","1000 ha","1320.593","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6650","Permanent crops","2017","2017","1000 ha","66.87","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6650","Permanent crops","2018","2018","1000 ha","66.87","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6650","Permanent crops","2019","2019","1000 ha","66.87","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6650","Permanent crops","2020","2020","1000 ha","67.714","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6650","Permanent crops","2021","2021","1000 ha","67.714","A","Official figure",""
