Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","008","Albania","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","0.88","E","Estimated value","Estimated Value"
"RP","Pesticides Use","008","Albania","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","0.64","E","Estimated value","Estimated Value"
"RP","Pesticides Use","008","Albania","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","1.07","E","Estimated value","Estimated Value"
"RP","Pesticides Use","008","Albania","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","0.58","A","Official figure","Sum of subcomponents provided in formulated products and converted to active ingredients by FAO"
"RP","Pesticides Use","008","Albania","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","0.63","A","Official figure","Sum of subcomponents provided in formulated products and converted to active ingredients by FAO"
"RP","Pesticides Use","008","Albania","5159","Use per area of cropland","1357","Pesticides (total)","2022","2022","kg/ha","0.43","A","Official figure","Sum of subcomponents provided in formulated products and converted to active ingredients by FAO"
"RP","Pesticides Use","020","Andorra","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","16.99","E","Estimated value","Estimated Value"
"RP","Pesticides Use","020","Andorra","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","16.24","E","Estimated value","Estimated Value"
"RP","Pesticides Use","020","Andorra","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","17.97","E","Estimated value","Estimated Value"
"RP","Pesticides Use","020","Andorra","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","20.92","E","Estimated value","Estimated Value"
"RP","Pesticides Use","020","Andorra","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","22.88","E","Estimated value","Estimated Value"
"RP","Pesticides Use","020","Andorra","5159","Use per area of cropland","1357","Pesticides (total)","2022","2022","kg/ha","23.57","E","Estimated value","Estimated Value"
"RP","Pesticides Use","040","Austria","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","3.31","E","Estimated value","Estimated Value"
"RP","Pesticides Use","040","Austria","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","3.79","E","Estimated value","Estimated Value"
"RP","Pesticides Use","040","Austria","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","3.56","E","Estimated value","Estimated Value"
"RP","Pesticides Use","040","Austria","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","4","E","Estimated value","Estimated Value"
"RP","Pesticides Use","040","Austria","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","4.16","E","Estimated value","Estimated Value"
"RP","Pesticides Use","040","Austria","5159","Use per area of cropland","1357","Pesticides (total)","2022","2022","kg/ha","4.37","E","Estimated value","Estimated Value"
"RP","Pesticides Use","112","Belarus","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","0.12","E","Estimated value","Estimated Value"
"RP","Pesticides Use","112","Belarus","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","0.14","E","Estimated value","Estimated Value"
"RP","Pesticides Use","112","Belarus","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","0.72","A","Official figure","Sum of subcomponents provided in formulated products and converted to active ingredients by FAO"
"RP","Pesticides Use","112","Belarus","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","0.8","A","Official figure","Sum of subcomponents provided in formulated products and converted to active ingredients by FAO"
"RP","Pesticides Use","112","Belarus","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","0.72","A","Official figure","Sum of subcomponents provided in formulated products and converted to active ingredients by FAO"
"RP","Pesticides Use","112","Belarus","5159","Use per area of cropland","1357","Pesticides (total)","2022","2022","kg/ha","0.74","A","Official figure","Sum of subcomponents provided in formulated products and converted to active ingredients by FAO"
"RP","Pesticides Use","056","Belgium","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","7.27","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","7.27","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","6.74","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","6.38","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","6.27","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5159","Use per area of cropland","1357","Pesticides (total)","2022","2022","kg/ha","5.71","E","Estimated value","Estimated Value"
"RP","Pesticides Use","070","Bosnia and Herzegovina","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","2.06","E","Estimated value","Estimated Value"
"RP","Pesticides Use","070","Bosnia and Herzegovina","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","2.17","E","Estimated value","Estimated Value"
"RP","Pesticides Use","070","Bosnia and Herzegovina","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","2.24","E","Estimated value","Estimated Value"
"RP","Pesticides Use","070","Bosnia and Herzegovina","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","2.43","E","Estimated value","Estimated Value"
"RP","Pesticides Use","070","Bosnia and Herzegovina","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","2.44","E","Estimated value","Estimated Value"
"RP","Pesticides Use","070","Bosnia and Herzegovina","5159","Use per area of cropland","1357","Pesticides (total)","2022","2022","kg/ha","2.44","E","Estimated value","Estimated Value"
"RP","Pesticides Use","100","Bulgaria","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","0.93","E","Estimated value","Estimated Value"
"RP","Pesticides Use","100","Bulgaria","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","1.39","E","Estimated value","Estimated Value"
"RP","Pesticides Use","100","Bulgaria","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","1.84","E","Estimated value","Estimated Value"
"RP","Pesticides Use","100","Bulgaria","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","1.16","E","Estimated value","Estimated Value"
