"","Area","temporary_crop_and_fallow_hectares","Insecticides","Herbicides","Fungicides and Bactericides","permanent_crop_value","share_permanent_crops","arable_land_value","kg_Insecticides","kg_Herbicides","kg_Fungicides","kg_ha_insecticide","kg_ha_herbicide","kg_ha_fungicide","kg_ha_pesticide","arable_ha","permanent_ha","meadows_and_pastures_share"
"1","Albania",380400,36.72,32.02,110.44,88.2,12.8515226577299,598.1,36720,32020,110440,0.0965299684542587,0.0841745531019979,0.290325972660358,0.471030494216614,598100,88200,36.3985955525832
"2","Andorra",257.2,2.66,6.9,7.17,0.0086,1.13726527373711,0.7476,2660,6900,7170,10.3421461897356,26.8273716951789,27.8771384136858,65.0466562986003,747.6,8.6,65.5965757089353
"3","Austria",1177672.1,2266.13,1236.98,2426.61,66.8748,4.81991726222403,1320.593,2266130,1236980,2426610,1.92424529714171,1.05036028279858,2.06051412782896,5.03511970776925,1320593,66874.8,10.822478992392
"4","Belarus",4386496.6,146.32,2510.9,1241.4,90,1.58005617977528,5606,146320,2510900,1241400,0.0333569163144912,0.572415809008036,0.283004892788473,0.888777618111,5606000,90000,21.7535390652872
"5","Belgium",772390,564.62,2276.92,1688.9,24,2.70407300997127,863.55,564620,2276920,1688900,0.731003767526768,2.9478890197957,2.18658967619985,5.86548246352231,863550,24000,10.556424063459
"6","Bosnia and Herzegovina",1008000,542.8,1104.7,645,108,9.67741935483871,1008,542800,1104700,645000,0.538492063492063,1.09593253968254,0.639880952380952,2.27430555555556,1008000,108000,0
"7","Bulgaria",3358850.5,311.59,2513.4,1540.9,139.3407,3.86219018510813,3468.4749,311590,2513400,1540900,0.0927668558037936,0.748291714680365,0.458758137642625,1.29981670812678,3468474.9,139340.7,3.16059372377181
"8","Croatia",789000,102.5,718.38,604.4,79,8.47639484978541,853,102500,718380,604400,0.129911280101394,0.910494296577947,0.766032953105196,1.80643852978454,853000,79000,7.50293083235639
"9","Czechia",2439774,115.87,2769.46,1418.52,48.398,1.9146944630603,2479.316,115870,2769460,1418520,0.0474921037768252,1.13512972922902,0.581414508065091,1.76403634107094,2479316,48398,1.59487536078499
"10","Denmark",1880000,70.16,2521.45,525.51,31,1.29652864910079,2360,70160,2521450,525510,0.0373191489361702,1.34119680851064,0.279526595744681,1.65804255319149,2360000,31000,20.3389830508475
"11","Estonia",527000,8.45,506.61,149.72,5,0.702247191011236,707,8450,506610,149720,0.016034155597723,0.961309297912713,0.284098671726755,1.26144212523719,707000,5000,25.4596888260255
"12","Finland",1445000,18.93,1251.27,1986.93,5,0.222617987533393,2241,18930,1251270,1986930,0.0131003460207612,0.865930795847751,1.37503806228374,2.25406920415225,2241000,5000,35.5198572066042
"13","France",16316294,6664.87,29913.41,27933.42,1030.75,5.23651601571214,18653.139,6664870,29913410,27933420,0.408479401020845,1.833345856602,1.71199538326534,3.95382064088818,18653139,1030750,12.5278914181683
"14","Germany",8886000,17253.75,16812.33,11520.65,203,1.71163575042159,11657,17253750,16812330,11520650,1.94167792032411,1.89200202565834,1.29649448570786,5.1301744316903,11657000,203000,23.7711246461354
"15","Greece",1812000,751.07,1482.74,1331.82,1030,36.2420830401126,1812,751070,1482740,1331820,0.414497792494481,0.818289183222958,0.735,1.96778697571744,1812000,1030000,0
"16","Hungary",4077018,572.8,4617.82,2889.9,147.035,3.41568042045148,4157.671,572800,4617820,2889900,0.140494842063489,1.13264645875981,0.708826892596501,1.9819681934198,4157671,147035,1.93986008031901
"17","Ireland",380000,42.01,1862.71,473.77,1,0.223713646532438,446,42010,1862710,473770,0.110552631578947,4.90186842105263,1.24676315789474,6.25918421052632,446000,1000,14.7982062780269
"18","Italy",4543115,9816.79,4614.14,29183.21,2386.644,25.1991712491056,7084.477,9816790,4614140,29183210,2.16080596683113,1.01563354658643,6.42361243331943,9.60005194673699,7084477,2386644,35.8722598718296
